=== SYSTEM RECON REPORT ===
Generated on: 2026-02-02 11:14:02.897926

Operating System: Windows 11
Hostname: Thinesh
IP Address: 10.130.8.32

=== Running Processes ===

Image Name                     PID Session Name        Session#    Mem Usage
  TCP    10.130.8.32:7427       165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:7494       20.205.243.168:443     ESTABLISHED     17512
  TCP    10.130.8.32:9263       165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:9317       165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:10603      140.82.114.26:443      ESTABLISHED     15032
  TCP    10.130.8.32:11371      52.175.140.176:443     ESTABLISHED     17512
  TCP    10.130.8.32:13475      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:13485      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:13548      151.101.0.223:443      ESTABLISHED     15032
  TCP    10.130.8.32:13577      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:15897      142.251.10.94:443      TIME_WAIT       0
  TCP    10.130.8.32:17572      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:19321      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:20937      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:24356      13.67.9.5:443          ESTABLISHED     17512
  TCP    10.130.8.32:25124      13.35.238.105:443      ESTABLISHED     15032
  TCP    10.130.8.32:25794      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:28676      142.250.4.94:80        TIME_WAIT       0
  TCP    10.130.8.32:28677      104.119.105.21:80      TIME_WAIT       0
  TCP    10.130.8.32:28678      109.61.38.38:80        TIME_WAIT       0
  TCP    10.130.8.32:29111      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:31732      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:32234      172.67.71.230:443      ESTABLISHED     15032
  TCP    10.130.8.32:33647      44.228.125.127:443     ESTABLISHED     15032
  TCP    10.130.8.32:36057      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:37046      3.165.102.24:443       ESTABLISHED     15032
  TCP    10.130.8.32:38691      52.110.8.156:443       TIME_WAIT       0
  TCP    10.130.8.32:38693      52.98.90.2:443         TIME_WAIT       0
  TCP    10.130.8.32:38694      23.5.165.83:443        ESTABLISHED     4720
  TCP    10.130.8.32:39229      172.64.148.235:443     ESTABLISHED     15032
  TCP    10.130.8.32:39789      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:42692      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:43509      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:44153      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:45517      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:47817      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:47818      20.189.173.26:443      ESTABLISHED     5312
  TCP    10.130.8.32:48048      52.77.48.127:443       ESTABLISHED     15032
  TCP    10.130.8.32:49230      192.99.44.193:443      ESTABLISHED     15032
  TCP    10.130.8.32:49413      4.145.79.80:443        ESTABLISHED     5700
  TCP    10.130.8.32:50568      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:51819      142.250.4.188:5228     ESTABLISHED     15032
  TCP    10.130.8.32:53549      34.216.5.116:443       ESTABLISHED     15032
  TCP    10.130.8.32:54027      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:55127      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:55469      104.46.162.227:443     ESTABLISHED     17512
  TCP    10.130.8.32:56673      192.99.44.195:443      ESTABLISHED     15032
  TCP    10.130.8.32:58136      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:58917      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:59404      172.64.145.54:443      CLOSE_WAIT      7412
  TCP    10.130.8.32:59405      104.18.36.61:443       CLOSE_WAIT      7412
  TCP    10.130.8.32:61362      3.165.102.107:443      ESTABLISHED     15032
  TCP    10.130.8.32:61504      165.21.100.88:53       TIME_WAIT       0
  TCP    10.130.8.32:61984      162.159.136.234:443    ESTABLISHED     4720
  TCP    10.130.8.32:61985      35.186.224.39:443      ESTABLISHED     4720
  TCP    10.130.8.32:63290      192.99.44.206:443      ESTABLISHED     15032
  TCP    10.130.8.32:65374      3.165.102.107:443      ESTABLISHED     15032
  TCP    127.0.0.1:5406         0.0.0.0:0              LISTENING       18604
  TCP    127.0.0.1:6463         0.0.0.0:0              LISTENING       8624
  TCP    127.0.0.1:9080         0.0.0.0:0              LISTENING       5416
  TCP    127.0.0.1:26822        0.0.0.0:0              LISTENING       15844
  TCP    127.0.0.1:32683        0.0.0.0:0              LISTENING       7156
  TCP    127.0.0.1:33683        0.0.0.0:0              LISTENING       7156
  TCP    127.0.0.1:49731        127.0.0.1:49732        ESTABLISHED     4360
  TCP    127.0.0.1:49732        127.0.0.1:49731        ESTABLISHED     4360
  TCP    127.0.0.1:49733        127.0.0.1:49734        ESTABLISHED     2404
  TCP    127.0.0.1:49734        127.0.0.1:49733        ESTABLISHED     2404
  TCP    127.0.0.1:49735        127.0.0.1:49736        ESTABLISHED     4612
  TCP    127.0.0.1:49736        127.0.0.1:49735        ESTABLISHED     4612
  TCP    127.0.0.1:49737        127.0.0.1:49738        ESTABLISHED     5240
  TCP    127.0.0.1:49738        127.0.0.1:49737        ESTABLISHED     5240
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1568
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1462              [::]:0                 LISTENING       4
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:49664             [::]:0                 LISTENING       1316
  TCP    [::]:49665             [::]:0                 LISTENING       1140
  TCP    [::]:49666             [::]:0                 LISTENING       2040
  TCP    [::]:49667             [::]:0                 LISTENING       3132
  TCP    [::]:49670             [::]:0                 LISTENING       4844
  TCP    [::]:49672             [::]:0                 LISTENING       1264
  TCP    [::1]:49671            [::]:0                 LISTENING       5228
  UDP    0.0.0.0:123            *:*                                    16784
  UDP    0.0.0.0:500            *:*                                    5180
  UDP    0.0.0.0:3702           *:*                                    8620
  UDP    0.0.0.0:3702           *:*                                    8620
  UDP    0.0.0.0:4500           *:*                                    5180
  UDP    0.0.0.0:5050           *:*                                    6848
  UDP    0.0.0.0:5353           *:*                                    15032
  UDP    0.0.0.0:5353           *:*                                    15032
  UDP    0.0.0.0:5353           *:*                                    2192
  UDP    0.0.0.0:5353           *:*                                    15032
  UDP    0.0.0.0:5353           *:*                                    6812
  UDP    0.0.0.0:5353           *:*                                    6812
  UDP    0.0.0.0:5353           *:*                                    6812
  UDP    0.0.0.0:5353           *:*                                    15032
  UDP    0.0.0.0:5353           *:*                                    6812
  UDP    0.0.0.0:5355           *:*                                    2192
  UDP    0.0.0.0:49274          *:*                                    7156
  UDP    0.0.0.0:49276          *:*                                    7156
  UDP    0.0.0.0:49277          *:*                                    7156
  UDP    0.0.0.0:49666          *:*                                    7156
  UDP    0.0.0.0:49668          *:*                                    7156
  UDP    0.0.0.0:49669          *:*                                    7156
  UDP    0.0.0.0:50504          *:*                                    2192
  UDP    0.0.0.0:50530          *:*                                    7156
  UDP    0.0.0.0:50531          *:*                                    7156
  UDP    0.0.0.0:50533          *:*                                    7156
  UDP    0.0.0.0:50534          *:*                                    7156
  UDP    0.0.0.0:51023          *:*                                    7156
  UDP    0.0.0.0:51025          *:*                                    7156
  UDP    0.0.0.0:51026          *:*                                    7156
  UDP    0.0.0.0:51042          *:*                                    7156
  UDP    0.0.0.0:51044          *:*                                    7156
  UDP    0.0.0.0:51045          *:*                                    7156
  UDP    0.0.0.0:51133          *:*                                    7156
  UDP    0.0.0.0:51565          35.190.80.1:443                        15032
  UDP    0.0.0.0:51650          162.159.136.232:443                    4720
  UDP    0.0.0.0:52006          *:*                                    7156
  UDP    0.0.0.0:52007          *:*                                    7156
  UDP    0.0.0.0:52009          *:*                                    7156
  UDP    0.0.0.0:52010          *:*                                    7156
  UDP    0.0.0.0:52011          *:*                                    7156
  UDP    0.0.0.0:52012          *:*                                    7156
  UDP    0.0.0.0:52014          *:*                                    7156
  UDP    0.0.0.0:52015          *:*                                    7156
  UDP    0.0.0.0:52090          *:*                                    7156
  UDP    0.0.0.0:53409          *:*                                    7156
  UDP    0.0.0.0:53410          *:*                                    7156
  UDP    0.0.0.0:53412          *:*                                    7156
  UDP    0.0.0.0:53413          *:*                                    7156
  UDP    0.0.0.0:53670          *:*                                    7156
  UDP    0.0.0.0:53671          *:*                                    7156
  UDP    0.0.0.0:53673          *:*                                    7156
  UDP    0.0.0.0:53674          *:*                                    7156
  UDP    0.0.0.0:54087          *:*                                    7156
  UDP    0.0.0.0:54088          *:*                                    7156
  UDP    0.0.0.0:54090          *:*                                    7156
  UDP    0.0.0.0:54091          *:*                                    7156
  UDP    0.0.0.0:54311          104.18.32.47:443                       15032
  UDP    0.0.0.0:54685          *:*                                    7156
  UDP    0.0.0.0:54686          *:*                                    7156
  UDP    0.0.0.0:54687          *:*                                    7156
  UDP    0.0.0.0:54688          *:*                                    7156
  UDP    0.0.0.0:54689          *:*                                    7156
  UDP    0.0.0.0:54967          *:*                                    7156
  UDP    0.0.0.0:54969          *:*                                    7156
  UDP    0.0.0.0:54970          *:*                                    7156
  UDP    0.0.0.0:55093          *:*                                    7156
  UDP    0.0.0.0:55095          *:*                                    7156
  UDP    0.0.0.0:55096          *:*                                    7156
  UDP    0.0.0.0:55274          *:*                                    7156
  UDP    0.0.0.0:55276          *:*                                    7156
  UDP    0.0.0.0:55277          *:*                                    7156
  UDP    0.0.0.0:55418          *:*                                    7156
  UDP    0.0.0.0:55419          *:*                                    7156
  UDP    0.0.0.0:55421          *:*                                    7156
  UDP    0.0.0.0:55422          *:*                                    7156
  UDP    0.0.0.0:55668          *:*                                    7156
  UDP    0.0.0.0:55669          *:*                                    7156
  UDP    0.0.0.0:55670          *:*                                    7156
  UDP    0.0.0.0:55671          *:*                                    7156
  UDP    0.0.0.0:55672          *:*                                    7156
  UDP    0.0.0.0:55962          3.165.102.62:443                       15032
  UDP    0.0.0.0:56210          *:*                                    7156
  UDP    0.0.0.0:56211          *:*                                    7156
  UDP    0.0.0.0:56213          *:*                                    7156
  UDP    0.0.0.0:56214          *:*                                    7156
  UDP    0.0.0.0:56605          *:*                                    7156
  UDP    0.0.0.0:56606          *:*                                    7156
  UDP    0.0.0.0:56608          *:*                                    7156
  UDP    0.0.0.0:56609          *:*                                    7156
  UDP    0.0.0.0:56878          *:*                                    7156
  UDP    0.0.0.0:56879          *:*                                    7156
  UDP    0.0.0.0:56880          *:*                                    7156
  UDP    0.0.0.0:56881          *:*                                    7156
  UDP    0.0.0.0:56882          *:*                                    7156
  UDP    0.0.0.0:56885          *:*                                    7156
  UDP    0.0.0.0:56887          *:*                                    7156
  UDP    0.0.0.0:56888          *:*                                    7156
  UDP    0.0.0.0:56890          *:*                                    7156
  UDP    0.0.0.0:56892          *:*                                    7156
  UDP    0.0.0.0:56893          *:*                                    7156
  UDP    0.0.0.0:56895          *:*                                    7156
  UDP    0.0.0.0:56897          *:*                                    7156
  UDP    0.0.0.0:56898          *:*                                    7156
  UDP    0.0.0.0:57553          *:*                                    7156
  UDP    0.0.0.0:57554          *:*                                    7156
  UDP    0.0.0.0:57557          *:*                                    7156
  UDP    0.0.0.0:58581          *:*                                    8620
  UDP    0.0.0.0:58662          *:*                                    7156
  UDP    0.0.0.0:58663          *:*                                    7156
  UDP    0.0.0.0:58665          *:*                                    7156
  UDP    0.0.0.0:58666          *:*                                    7156
  UDP    0.0.0.0:59034          *:*                                    7156
  UDP    0.0.0.0:59035          *:*                                    7156
  UDP    0.0.0.0:59379          *:*                                    7156
  UDP    0.0.0.0:59380          *:*                                    7156
  UDP    0.0.0.0:59382          *:*                                    7156
  UDP    0.0.0.0:59383          *:*                                    7156
  UDP    0.0.0.0:60905          *:*                                    7156
  UDP    0.0.0.0:61021          146.75.46.214:443                      15032
  UDP    0.0.0.0:61509          142.251.12.94:443                      15032
  UDP    0.0.0.0:62002          *:*                                    7156
  UDP    0.0.0.0:62003          *:*                                    7156
  UDP    0.0.0.0:62005          *:*                                    7156
  UDP    0.0.0.0:62006          *:*                                    7156
  UDP    0.0.0.0:62631          *:*                                    7156
  UDP    0.0.0.0:62632          *:*                                    7156
  UDP    0.0.0.0:62634          *:*                                    7156
  UDP    0.0.0.0:62635          *:*                                    7156
  UDP    0.0.0.0:62754          *:*                                    7156
  UDP    0.0.0.0:62756          *:*                                    7156
  UDP    0.0.0.0:62757          *:*                                    7156
  UDP    0.0.0.0:63000          *:*                                    7156
  UDP    0.0.0.0:63001          *:*                                    7156
  UDP    0.0.0.0:63003          *:*                                    7156
  UDP    0.0.0.0:63004          *:*                                    7156
  UDP    0.0.0.0:63044          *:*                                    7156
  UDP    0.0.0.0:63045          *:*                                    7156
  UDP    0.0.0.0:63047          *:*                                    7156
  UDP    0.0.0.0:63048          *:*                                    7156
  UDP    0.0.0.0:65314          *:*                                    7156
  UDP    0.0.0.0:65315          *:*                                    7156
  UDP    0.0.0.0:65317          *:*                                    7156
  UDP    0.0.0.0:65318          *:*                                    7156
